entry_id,temperature,humidity,label
528,27,91,0
529,27,91.1,0
530,27,91.2,0
531,27,91.4,0
532,27,91,0
533,27,90.3,0
534,26.9,90.6,0
535,26.8,90.7,0
536,26.9,91.5,0
537,26.9,90.8,0
538,26.8,90.5,0
539,26.8,90.9,0
540,26.7,91,0
541,26.7,91.1,0
542,26.7,91.2,0
543,26.7,91.2,0
544,26.7,90.9,0
545,26.7,91.2,0
546,26.7,91.2,0
547,26.6,91.4,0
548,26.6,91.3,0
549,26.7,91.6,0
550,26.6,91.2,0
551,26.6,91.1,0
552,26.6,91.4,0
553,26.6,91.6,0
554,26.6,91.5,0
555,26.6,91.4,0
556,26.6,91.3,0
557,26.6,91.5,0
558,26.6,91.4,0
559,26.6,92,0
560,26.6,91.7,0
561,26.6,91.6,0
562,26.6,91.6,0
563,26.6,92,0
564,26.6,92.2,0
565,26.7,91.8,0
566,26.8,92.1,0
567,26.7,91.6,0
568,26.7,91.6,0
569,26.8,91.5,0
570,26.7,91.8,0
571,26.7,91.6,0
572,26.7,91.6,0
573,26.7,91.6,0
574,26.8,91.9,0
575,26.8,91.4,0
576,26.8,91.3,0
577,26.8,91.9,0
578,26.8,91.6,0
579,26.8,91.6,0
580,26.9,92,0
581,26.8,90.5,0
582,26.7,90.6,0
583,26.6,90.6,0
584,26.6,90.9,0
585,26.5,90.9,0
586,26.4,91.4,0
587,26.4,91.3,0
588,26.4,91.4,0
589,26.4,91.3,0
590,26.3,91.5,0
591,26.4,92.5,0
592,26.4,91.9,0
593,26.4,91.7,0
594,26.3,91.8,0
595,26.3,91.9,0
596,26.3,91.8,0
597,26.3,91.7,0
598,26.3,92,0
599,26.3,91.8,0
600,26.3,92.2,0
601,26.3,92.1,0
602,26.2,92.1,0
603,26.3,92.6,0
604,26.3,92.3,0
605,26.3,92.5,0
606,26.3,91.9,0
607,26.3,92.8,0
608,26.3,92,0
609,26.3,91.9,0
